companyId,ticker,quarter,industry,industryFull,qualityScore,earningsScore,opportunityScore,fqRevSegmentEstBeatCompoundBeforeEarningsScore,fqRevSegmentGrowthAvg2yCompoundScore,fqUsageKpiEstBeatCompoundBeforeEarningsScore,fqUsageKpiGrowthAvg2yCompoundScore,avgRoicAbsGrowth2yScore,evToEbitdaGrossProfitRatioScoresAvgScore,fqAcvEstBeatScore,fqAcvYoyGrowthAvgScore,fqAltRevEstBeatAbsScore,fqAltRevEstBeatScore,fqAltRevYoyGrowthAvg2yScore,fqArpuGrowthAvg2yScore,fqArrEstBeatScore,fqArrYoyGrowthAvgScore,fqBillingsEstBeatScore,fqBillingsYoyGrowthAvgScore,fqBookingsEstBeatScore,fqBookingsYoyGrowthAvgScore,fqBvps2yCagrScore,fqCacPaybackGrossMargAvgScore,fqCrpoEstBeatScore,fqCrpoYoyGrowthAvgScore,fqCustomerChangeAbsVsPrevQuarterScore,fqDioChangeScore,fqEbitdaGuidNextEstBeatScore,fqEbitdaOrGONgEpsGuidNextEstBeatScore,fqEbitdaOrGONgOpIncGuidNextEstBeatScore,fqEffcyRatioEstAbsNtmCagrScore,fqFcfMargAvg2yScore,fqFcfMargAvg5yScore,fqFcfMargAvgScore,fqGmvEstBeatScore,fqGmvYoyGrowthAvgScore,fqGONgEpsEstBeatScore,fqGONgEpsEstNtmGrowthScore,fqGONgEpsGuidNextEstBeatScore,fqGONgEpsLtm2019MaxYCagrScore,fqGONgEpsLtm2yCagrScore,fqGONgEpsLtm3yCagrScore,fqGONgEpsLtm5yCagrScore,fqGONgOpMargAvg5yScore,fqGrossMargAvg2yScore,fqGrossMargAvg5yScore,fqGrossMargAvgScore,fqGrossMargChangeScore,fqGrossMargEstBeatScore,fqGrossMargYoyGrowthScore,fqLargeCustomerChangeAbsVsPrevQuarterScore,fqNetIntIncEstBeatScore,fqNetIntIncEstNtmCagrScore,fqNetIntIncGuidNextEstBeatScore,fqNetIntIncLtm5yCagrScore,fqNetIntMargAvg2yScore,fqNetPremsEarnedLtm2yCagrScore,fqNetRevRetGrowthScore,fqNgEbitdaEstBeatScore,fqNgEbitdaMargAvgScore,fqNgEpsEstBeatScore,fqNgEpsEstYoyGrowthAvgScore,fqNgEpsGuidNextEstBeatScore,fqNgOpIncEstBeatScore,fqNgOpMargAvgScore,fqNgOpMargYoyGrowthScore,fqOpMargAvg2yScore,fqOpMargAvg5yScore,fqOrgRevYoyGrowthAvg2yScore,fqOrgRevYoyGrowthEstBeatAbsScore,fqOrgRevYoyGrowthEstBeatScore,fqRevEstBeatScore,fqRevEstNtmCagrScore,fqRevGrowthDecayAbsScore,fqRevGrowthDecayScore,fqRevGuidNextEstBeatScore,fqRevLtm2019MaxYCagrScore,fqRevLtm2yCagrScore,fqRevLtm3yCagrScore,fqRevLtm5yCagrScore,fqRevSegment1EstBeatScore,fqRevSegment1YoyGrowthAvg2yScore,fqRevSegment2EstBeatScore,fqRevSegment2YoyGrowthAvg2yScore,fqRevSegment3EstBeatScore,fqRevSegment3YoyGrowthAvg2yScore,fqRevYoyGrowthAvg3yScore,fqRevYoyGrowthScore,fqRpoEstBeatScore,fqRpoYoyGrowthAvgScore,fqSameStoreSalesGrowthAvg2yScore,fqSameStoreSalesGrowthEstBeatAbsScore,fqStoresYoyGrowthAvg2yScore,fqTbvps2yCagrScore,fqTbvps5yCagrScore,fqTbvpsEstBeatScore,fqTbvpsNtmCagrScore,fqTpvEstBeatScore,fqTpvYoyGrowthAvgScore,fqTransactVolEstBeatScore,fqTransactVolYoyGrowthAvgScore,fqUsageKpi1EstBeatScore,fqUsageKpi1YoyGrowthAvg2yScore,fqUsageKpi2EstBeatScore,fqUsageKpi2YoyGrowthAvg2yScore,fqUsageKpi3EstBeatScore,fqUsageKpi3YoyGrowthAvg2yScore,fqUsagePrimaryKpiGrowthAvg2yScore,fqVolYoyGrowthAvg2yScore,fyEbitdaGuidNextEstBeatScore,fyEbitdaOrGONgEpsGuidNextEstBeatScore,fyEbitdaOrGONgOpIncGuidNextEstBeatScore,fyGONgEpsGuidNextEstBeatScore,fyNetIntIncGuidNextEstBeatScore,fyRevGuidChangeScore,fyRevGuidNextEstBeatScore,fyRevGuidVsPastFyScore,ltmEffcyRatioAbsGrowth5yScore,ltmFcfMargYoyAbsGrowth5yScore,ltmFcfMargYoyAbsGrowthScore,ltmGONgOpMargYoyAbsGrowth3yScore,ltmGONgOpMargYoyAbsGrowth5yScore,ltmNetIntMargAbsGrowth2yScore,ltmNetRevRetScore,ltmOpMargScore,ltmOpMargYoyAbsGrowth5yScore,ltmOpMargYoyAbsGrowthScore,ltmRevScore,ltmSalesMarketingEfficiencyAvgScore,ntmEvToEbitdaRatioVsSameSectorPeersScore,ntmFcfMargYoyAbsGrowthScore,ntmOpMargYoyAbsGrowthScore,ntmPriceToBookRatioVsSameSectorPeersScore,ntmPriceToEarningsRatioVsAvg5yScore,ntmPriceToEarningsRatioVsSameSectorPeersScore,ntmPriceToEarningsRatioVsSameSectorPeerSubgroupScore,ntmPriceToEarningsRatioVsSimilarGrowthPeersScore,ntmPriceToSalesRatioVsSameSectorPeersScore,ntmPriceToSalesRatioVsSimilarGrowthPeersScore,qualityVsSameSectorPeersScore,y5RoeScore,y5RoicScore,fqArpuGrowthAvg2y,fqCacPaybackGrossMargAvg,fqCustomerChangeQoqAbs,fqDioChange,fqEpsEstNtmGrowth,fqEpsEstYoyGrowthAvg,fqFcfMargAvg2y,fqFcfMargAvg5y,fqGONgEps,fqGONgEpsEstBeat,fqGONgEpsEstNtmGrowth,fqGONgEpsGuidNextEstBeat,fqGONgEpsLtm2019MaxYCagr,fqGONgEpsLtm5yCagr,fqGrossMargAvg,fqGrossMargAvg2y,fqGrossMargAvg5y,fqGrossMargChange,fqGrossMargEstBeat,fqGrossMargYoyGrowth,fqNetRevRetGrowth,fqNgEbitdaMargAvg,fqNgEpsEstBeat,fqNgEpsEstNtmGrowth,fqNgEpsEstYoyGrowthAvg,fqNgEpsGuidNextEstBeat,fqNgEpsLtm3yCagr,fqNgOpIncEstBeat,fqNgOpMargAvg,fqNgOpMargYoyGrowth,fqOpIncEst,fqOpMargAvg2y,fqOpMargAvg5y,fqOrgRevYoyGrowth,fqOrgRevYoyGrowthAvg,fqOrgRevYoyGrowthAvg2y,fqOrgRevYoyGrowthEst,fqRevEstBeat,fqRevEstNtmCagr,fqRevEstYoyGrowthAvg,fqRevGrowthDecay,fqRevGrowthDecayAbs,fqRevGrowthDecayAdj,fqRevGuidNextEstBeat,fqRevLtm2019MaxYCagr,fqRevLtm5yCagr,fqRevYoyGrowth,fqRevYoyGrowthAvg,fqRevYoyGrowthAvg3y,fqSameStoreSalesGrowthAvg2y,fqSameStoreSalesGrowthEstBeatAbs,fqStoresYoyGrowthAvg2y,fqUsagePrimaryKpiGrowthAvg2y,fqUsesNgEps,fqVolYoyGrowth,fqVolYoyGrowthAvg,fqVolYoyGrowthAvg2y,fyEpsGuid,fyEpsGuidHigh,fyEpsGuidLow,fyGONgEpsGuidNextEstBeat,fyRevGuidChange,fyRevGuidNextEstBeat,fyRevGuidVsPastFy,ltmFcfMargYoyAbsGrowth,ltmFcfMargYoyAbsGrowth5y,ltmNetRevRet,ltmOpMargYoyAbsGrowth5y,ltmRev,ltmSalesMarketingEfficiencyAvg,ntmEpsEst,ntmNgEpsEst,ntmPriceToEarningsRatioVsAvg5y,ntmPriceToEarningsRatioVsSameSectorPeerSubgroup,y5Roic,lastEarningsPriceChangePct,balanceSheetCashBurn2yRunwayCheck,balanceSheetEbitdaLeverageRatioCheck,balanceSheetHealthGlobalCheck,balanceSheetInterestCoverageCheck,balanceSheetPositiveEbitdaCheck,cashBurn2y,fqArrYoyGrowthAvg,fqBillingsYoyGrowthAvg,fqNetDebt,fqNetIntExp,ltmNetIntExp,ltmOpMarg
1,AAPL,Q1/2026,consumer_discretionary,consumer_discretionary.consumer_electronics,0.37640797731545234,0.6289813497116322,-0.23862980021057015,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,0.0024784373529647134,,,,,,,,,,,,,,,,,,,,,,1,,,,,0.0836503611896298,,,,,-0.1635584985916847,,0.08949251152166882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13879567962736372,,,,,,,0.14836366187885308,,,,,,,,,,,,,,,,1,,,,-0.2537924401470476,0.08772544230645639,0.09802642998841181,0.2665734077319916,0.26619171605033526,2.84,0.06246071888187233,0.08611883691529693,,0.16493169496084192,0.16458501035558526,0.4732528803972297,0.4694139962977085,0.4506196093382412,0.020795571796029876,0.011974352611161598,0.02722001097025438,,0.3510009939924291,0.06246071888187233,0.08611883691529693,0.09630295082387577,,0.1032833468285781,0.072204130076585,0.3238395195779779,0.02656117035482746,,0.32084722093586904,0.31078603873132005,,,,,0.04087225222441457,0.08127377708922223,0.08686849603795098,0.8070078034179834,-0.019436249189330512,,,0.08454440479109038,0.08171193836412516,0.15652453740949315,0.09573676055477595,0.03859386602765704,,,,,1,,,,,,,,,,,0.03472156763130124,0.013879567962736372,,0.014836366187885308,435617000000,,8.597159999999999,8.5912,,0.7060785952980579,0.9700091818141136,0.004646120489391534,1,1,1,1,1,-246648000000,,,23602000000,933039244.922524,3717871275.730197,0.3238395195779779
2,ADBE,Q4/2025,saas,saas.vertical_software.design_software,0.015757051240856555,0.2805763342974625,0.1862200619594262,,,,,,,,,,,,,,-0.10973370580701225,,-0.23657388471408058,,,,0.3307310324191519,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5615645025474478,,,,,-0.43366341325733115,,-0.35538763246745964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2620751955774446,,,,,,,,1,,,,,,-0.3060236166890906,,,,,,,0.3613419833419012,,0.011098140576951201,,,,38.42441386532968,,,0.08475545344234628,0.0857238856412705,0.3915050580907364,0.39709810959071723,5.5,0.018965731256125305,0.11992553699284036,0.00029455482210084523,0.17699956310347198,0.15710436181704646,0.8926753334174765,0.8915713212881565,0.8848522544201317,0.0027281026097085524,-0.00577145146844835,0.0057334559335008315,,0.4966132357272077,0.018965731256125305,0.11992553699284036,0.12053350993953607,0.00029455482210084523,0.15153366391695022,0.0153734625393188,0.46219866212293326,-0.015440659557710996,,0.341189203516367,0.34664640985378387,,,,,0.013694153397035199,0.09384354974525522,0.09392968272985483,0.8913893715864457,-0.011434292616986141,,-0.0006816135937287085,0.13410468139066545,0.13057654594156753,0.1048876204067071,0.10525847534255767,0.1051668269243393,,,,,1,,,,,,,-0.003856437833192031,0.09820485744456177,-0.0014450024080019347,-0.10827368154789442,0.04838855429686034,-0.02149406760372674,,-0.001288742441853341,23769000000,0.3056039957002094,18.122480000000003,23.46244,,-0.5242783395069414,0.42363472378956635,0.021274735522979663,1,1,1,1,1,-19704000000,0.13902662941929878,0.12634261152859194,53000000,-198000000,-9000000,0.36627540073204595
3,AMZN,Q4/2025,consumer_internet,consumer_internet.online_retail,0.3010471772641525,0.09701709956362776,0.3111183549967669,,,,,0.273114356637425,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,0.07385570417161925,,,,,,,,,,,,,,,,,,,,,,-0.7361453152303111,,,,,0.6564211174887246,,,,,0.5576227652004142,,0.7570926400541343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34916983593712414,,,,,,,0.5859887044828251,,,,,,,,,,,,,,,,0.05816029174925593,,2.464798416893517,,-0.25519464959192284,0.07314715163642717,0.07115995234798492,0.036470307768272245,0.022511964243361788,1.95,0.002163645614377732,0.06505299860529998,,0.3565592137420843,0.2797847630581849,0.5028566486824266,0.4961173769247972,0.4684639260429048,-0.04559715410392917,-0.0009102528587470259,0.023878012520410413,,0.23689679798695537,0.002163645614377732,0.06505299860529998,0.06317067653258696,,2.0635953632605757,0.24468106589163338,0.145177173591622,0.022106942581734422,,0.10965374870007226,0.07638546847696889,,,,,0.008663993479446573,0.12423158381165433,0.1250436941760209,1.003668169149613,0.0004540369787073839,,-0.006899591433041158,0.16927778536755556,0.13178194800406007,0.13628908579705207,0.12245134415583991,0.1165487062683855,,,,,1,,,,,,,,,,,-0.0442943102231316,0.03491698359371241,,0.05859887044828252,716924000000,0.1302696172100871,7.6968700000000005,7.636430000000001,,0.3805893939598079,0.15872404376238838,-0.0555480713098927,1,1,1,1,1,-22388000000,,,30413000000,451000000,2107000000,0.11155296795755199
5,CRM,Q4/2026,saas,saas.sales_and_marketing_software.sales_software,-0.12922988307553349,0.4270092081957405,0.11763384533588683,,,,,,,,,,,,,,-0.46625350319875203,,-0.272016330383535,,,,0,,,,,,,,,,,0.9841360626128838,,,,,,,,,,,,,0.41408789885611075,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3949438458999297,,,,,-0.5853499095634604,,-0.25314164579859577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9461584862899685,,,,,,,,1,,,,,,-0.03747937083943276,,,,,,,0.4676641307182978,,-0.23239644004652416,,,,134.91223239498385,,,0.01730765413378801,0.024491522076300273,0.3378997733568371,0.2784668924768041,3.81,0.24907794443078432,0.052004780876493954,-0.0007750398729190393,0.2693666341681775,0.20596783485286907,0.7767609873570138,0.7744522790229161,0.7569151933814003,-0.005257136185054462,-0.037917668830652056,-0.002638687738418341,,0.42834437086092714,0.24907794443078432,0.052004780876493954,0.06711376794130466,-0.0007750398729190393,0.33709256577087965,0.003824571617864062,0.3409030704394943,0.03611775288326172,,0.19561823218332913,0.12854329221884606,,,,0.08058359,0.0014858167548333445,0.11050561541000703,0.1110262202760933,1.1536116517802255,0.014714613958628275,,,0.1593842280846154,0.14335729427517552,0.12088461923346343,0.09527108219744077,0.09825405489546553,,,,,1,,,,,,,-0.002914673759747276,0.10843373493975904,-0.0027940950712480317,0.13115547020148896,0.01871004666956183,0.14740852008712454,,0.1799406388788164,41525000000,0.44447741033067684,7.94354,13.202660000000002,,-0.40109100590208496,0.02558543837235251,0.040260756192959574,1,1,1,1,1,-28804000000,0.1033746496801248,0.1227983669616465,7611000000,65000000,-259000000,0.20062612883804937
6,CRWD,Q4/2026,saas,saas.cybersecurity.endpoint_security,0.5294060246317372,0.28470003294953866,0.0540632193418088,,,,,,,,,,,,,,0.7117644095433027,,1,,,,0.5878839704208726,,,,,,,,,,,0.5335335790382585,,,,,,,,,,,,,0.1846803982955132,,,,,,,,,,,,,,,,,,,,,,,,,,0.7693193525972766,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6922349726813141,,,,,,,,-0.40633374237973563,,,,,,0.4144782053240954,,,,,,,-0.8918735613163824,,1,,,,29.424061035269457,,,1.5466626672777408,1.1228231569346254,0.2624294274831845,0.28087141122858333,1.12,0.015615081883965987,0.29773796791443835,-0.00285567155095735,0.384861889341092,0.7044318883184193,0.7480850497869391,0.7487472946892916,0.7458708623055258,0.013889881897096461,-0.028685074428584662,0.025129889062459474,,0.2759596051957552,0.015615081883965987,0.29773796791443835,0.30930987446210245,-0.00285567155095735,0.3441579152532328,0.02714931370633636,0.2174702644739563,0.17512402768147406,,-0.04673845995535517,-0.049084202192933434,,,,,0.006108545362189224,0.22693193525972766,0.22712653991368476,1.0452276385536325,0.009819483493955339,,-0.00025056154946987466,0.46769126447093967,0.40643417090854195,0.2331867160177528,0.21644942010843507,0.29306415991607765,,,,,1,,,,,,,-0.003303102939844045,,-0.0015091660048253404,0.042282240438459906,-0.012687895313689135,-0.04763113623637716,,0.03725095077177537,4812005000,0.507952266795469,0.35903,4.85354,,2.6470743233650866,,0.04154105564355421,1,1,1,1,1,-2470547999.999998,0.22117644095433026,0.2599884199163299,-4410048000,-40304000,-166948000,-0.06095006135696035
7,DOCU,Q3/2026,saas,saas.productivity_software.document_management,-0.07100389873860781,0.2602536477989918,0.2830906117575514,,,,,,,,,,,,,,-0.6384045528691958,,-0.544439759211797,,,,1,,,,,,,,,,,0.8137334229850214,,,,,,,,,,,,,0.5597160016866676,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8423972473571149,,,,,-0.7016570782880036,,0.0882543309022184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42943221863868725,,,,,,0.01670950833741358,,,,,,,0.7015343563334174,,-0.13535313281831463,,,,14.136559668023116,,,0.024580641187866098,0.0366506253079514,0.30917385636631195,0.26063515732143067,1.01,0.10296928066746021,0.0825853658536586,,0.5662018270162077,0.4240891032365708,0.7949645002108334,0.7934752086090289,0.7918719341749444,-0.0028455596445335503,-0.018531071950296782,-0.0009593311368144911,,0.3364603791455992,0.10296928066746021,0.0825853658536586,0.08313642355514625,,0.25428122035980594,0.11126438942170995,0.298993127970187,0.06285116002172633,,0.06928792533966648,0.020309766307177977,,,,,0.014002847954574323,0.06576027526428851,0.06580254434426566,0.7786038082014564,-0.0186989510734199,,-0.001453661170681954,0.23304229798126008,0.19485722445299913,0.08416576137357251,0.08442799839762657,0.09068203450146432,,,,,1,,,,,,,,0.004694835680751174,-0.00022800407705151206,-0.808368184130376,0.007447414769586491,0.09881083576982905,,0.11736017542621947,3158892000,0.4780124583495933,1.4639700000000002,3.99474,,-0.5060383860350521,,-0.07637130801687754,1,1,1,1,1,-1975866000,0.08615954471308042,0.0955560240788203,-689498000,-10174000,-42360000,0.08588644372773745
9,META,Q4/2025,consumer_internet,consumer_internet.social_networking,0.6408722701100494,0.499100373006255,0.3413805066690228,,,,,,-0.3172389866619544,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,-0.9229663299663311,,,,1,,,0.8949534611157474,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9855611863383306,,1,,,,0.4946816290031557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,1,-0.018547757200281345,,,,,,,,,,1,,,0.29887817974665404,0.7190410399951249,,,0.25374479272935396,1.440730584383911,0.26182534579234673,0.26630417034061593,8.88,0.08596621030811862,0.007703367003366885,,0.23040224282428756,0.2485178375911954,0.8199935312119025,0.8184860383347242,0.8112079945135691,-0.002967155067225479,0.008731564143449853,0.0007208766724874085,,0.6086532480780236,0.08596621030811862,0.007703367003366885,0.009655708190576746,,0.5127124705236672,0.28159945968610134,0.5160251785136716,-0.10719246636878332,,0.4177034736568481,0.37434141057879666,,,,,0.024735373559690438,0.24783417795074958,0.2519204519361081,1.1180233723542659,0.026162445427953207,1,-0.008128798022541428,0.19019989347400212,0.1851102151881341,0.23784230649994834,0.2192915600308501,0.19846237263659572,,,,-0.04570970452878804,1,,,,,,,,,,,-0.09985700136658254,-0.11035223046494191,,0.017930206939089366,200965000000,0.08391171242715391,29.451659999999997,29.92879,,0.07499641230309692,0.3736378603974016,0.10404797152812036,1,1,1,1,1,-87170000000,,,2305000000,169000000,959000000,0.4143806135396711
10,HUBS,Q4/2025,saas,saas.sales_and_marketing_software.sales_software,0.27123400221925636,0.5976213006589068,0.5124435526901331,,,,,,,,,,,,,,0.4152482710988381,,0.7464293410571852,,,,0.09313232173968028,,,,,,,,,,,0.17123731384133006,,,,,,,,,,,,,0.9008785900403895,,,,,,,,,,,,,,,,,,,,,,,,,,0.30752906975077293,,,,,0.5117772322316951,,0.5026632622097075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4087970245664429,,,,,,,,0.011781173563289237,,,,,,0.10804828799044208,,,,,,,0.5028350628465154,,0.5220520425337508,,,,46.74036873911119,,,2.067294729734917,2.4862432045483263,0.18197389596867683,0.15585814175423743,3.09,0.034119241645889455,0.28290123456790167,0.000554963684310589,0.3654081820365349,0.4797526948310622,0.8376098237550487,0.843413146201885,0.8345692686389323,0.0027679830375210656,-0.022863516285308076,-0.018364149111259515,,0.22936242741356774,0.034119241645889455,0.28290123456790167,0.2945853912431256,0.000554963684310589,0.5177741656483059,0.03880048092232143,0.18583531841902975,0.19197937530915538,,-0.010465714756050041,-0.038783978337070944,,,,,0.02024869995863274,0.1807529069750773,0.18173395921569302,0.9428363427522154,-0.010958950935962664,,-0.000304290683449568,0.29147023787274495,0.2880992339971842,0.20418048500224695,0.19089972472516809,0.21881434120732354,,,,,1,,,,,,,-0.002582684449926561,0.18657675016056519,-0.00036609866963390836,-0.056921041401745004,0.004983003314412454,0.04675148957933148,,0.04448725003798958,3131267000,0.5268257993328,2.71666,12.469800000000001,,-0.12381206084375707,,0.09372760712750192,1,1,1,1,1,-1153856000,0.1915248271098838,0.2246429341057185,-1441489000,-13112000,-65343000,0.0023562347126578473
11,INTU,Q2/2026,saas,saas.finance_and_hr_software.tax_software,0.3242336447235459,-0.02593186910099413,0.34026290933720355,,,,,,,,,,,,,,,,0.25753701030394677,,,,0.7602165809549635,,,,,,,,,,,0.9494682172854231,,,,,,,,,,,,,0.671646538442424,,,,,,,,,,,,,,,,,,,,,,,,,,-0.39758698765841904,,,,,0.045762181599270646,,0.16119071741410929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1,,,,,,-0.3361188558543934,,,,,,,0.05247449113207725,,0.6280513275423298,,,,23.392419666576277,,,0.08506426255379052,0.09247927364507112,0.33445076163913323,0.3117965926690759,4.15,0.12692119698039442,0.11345591594335318,-0.0057202950971175165,0.20841212082231397,0.22547404069920485,0.808955817305303,0.804012014589144,0.8047754259163655,0.0014875471396587703,-0.010255976900462916,0.01592466608025696,,0.41449232145519604,0.12692119698039442,0.11345591594335318,0.1356819681899404,-0.0057202950971175165,0.20183143261067826,0.11085164944115126,0.405844639928433,0.04751103193373674,,0.24849817635700494,0.23193082085699535,,,,,0.024621998539981538,0.1102413012341581,0.11122514892512386,0.6406609405168562,-0.06183302741965435,,-0.0018140070890946885,0.18884107124858596,0.21126791141817458,0.1736058541508958,0.17778391027770507,0.14413482455343965,,,,,1,,,,,,,-0.0056867137687403695,0,-0.005458133844537582,-0.728697669378709,0.011822343870668828,0.07749658721037006,,0.04586264402276166,20121000000,0.3505215237274718,16.72437,24.373549999999998,,-0.2444253393838496,0.11687346384189183,0.03704173216368327,1,1,1,1,1,-13678000000,,0.17575370103039467,3831000000,23000000,71000000,0.2707618905620993
13,MDB,Q4/2026,saas,saas.data_and_analytics_software.data_storage,0.3339095465435481,0.18168804614596584,0.266787379523013,,,,,,,,,,,,,,1,,1,,,,0,,,0,,,,,,,,0.24977595556776797,,,,,,,,,,,,,-0.05982903623959235,,,,-0.2846153846153845,,,,,,,,,,,,,,,,,,,,,,0.25905359691042046,,,,,0.599264859979062,,0.6921974669746266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.38209830397984657,,,,,,,,-0.3706149492023897,,,,,,-0.2688013662010639,,,,,,,-0.11382837213630825,,0.6474031311823343,,,,378.8080594673154,2700,,0.2798184723865757,-0.13402249413500927,0.1358117237553241,0.08302369621828613,1.65,0.1207792472439018,0.17352716297786716,-0.010068533716896541,0.383752021472485,0.47662399707589254,0.7175213704700509,0.7245637818103726,0.7275265179357707,0.021921906755305573,-0.01768234945390635,0.0030549254666278262,,0.19423921694847424,0.1207792472439018,0.17352716297786716,0.18490742424242426,-0.010068533716896541,0.8618951522910654,0.11341727799486315,0.185149994094481,0.1139306392936646,,-0.07897383585668778,-0.14712697145121936,,,,,0.03693703184392188,0.17590535969104204,0.17787134995201306,0.7717087368090659,-0.05203732295680785,,-0.00407297299816367,0.342033800236742,0.330744430069291,0.2674590352262408,0.2274549972730634,0.2443859273940089,,,,,1,,,,,,,-0.0009408947053289717,0.18202339421301048,-0.005207500399704517,-0.257314745596977,0.1429079687404286,0.2025771265619835,,0.27557045037366945,2463797000,0.5352025147122631,-0.5903400000000001,5.83243,,0.881924551404388,,-0.22239315713362667,1,1,1,1,1,-985298000,0.25969458688649333,0.2894239021702909,-2354382000,64915000,0,-0.055592242380358446
